scenario,run,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,label,rule_label,rule_pkce_weak,rule_redirect_suspicious,rule_refresh_abuse,rule_auth_error,rule_token_error
no_pkce_accepted,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,10,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,100,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,101,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,102,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,103,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,104,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,105,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,106,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,107,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,108,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,109,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,11,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,110,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,111,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,112,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,113,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,114,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,115,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,116,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,117,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,118,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,119,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,12,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,120,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,121,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,122,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,123,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,124,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,125,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,126,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,127,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,128,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,129,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,13,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,130,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,131,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,132,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,133,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,134,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,135,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,136,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,137,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,138,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,139,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,14,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,140,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,141,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,142,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,143,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,0
no_pkce_accepted,144,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,145,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
no_pkce_accepted,146,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,0,1,0,1,1,0,0,1,no_pkce_rejected,1,0,0,0,1
