,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,total
x3,0.0807,0.024,0.0262,0.0187,0.0905,0.1865,0.0889,0.0385,0.5541
x24,0.0934,0.0154,0.0172,0.0073,0.0099,0.0274,0.1006,0.2323,0.5034
x7,0.0739,0.0393,0.1254,0.0145,0.0106,0.0109,0.0807,0.0132,0.3685
x5,0.025,0.0198,0.0209,0.1611,0.0191,0.0176,0.0264,0.0323,0.3222
x6,0.0179,0.0751,0.0263,0.0081,0.0101,0.0086,0.0205,0.0207,0.1872
x32,0.013,0.0458,0.0469,0.0005,0.0005,0.0007,0.0133,0.0011,0.1219
x20,0.0138,0.0199,0.0223,0.0009,0.0007,0.0012,0.011,0.0012,0.0711
x10,0.0008,0.0023,0.0017,0.0016,0.0197,0.0103,0.0009,0.0162,0.0535
x8,0.0013,0.0036,0.0027,0.0025,0.0116,0.0025,0.0014,0.0219,0.0475
x31,0.0013,0.003,0.0027,0.0024,0.0106,0.0034,0.0014,0.0186,0.0434
x9,0.0009,0.0017,0.0013,0.0012,0.0142,0.0135,0.001,0.0068,0.0406
x18,0.0006,0.0017,0.0015,0.0014,0.0114,0.0042,0.0007,0.0131,0.0346
x11,0.0014,0.0025,0.0023,0.002,0.0072,0.0067,0.0015,0.0102,0.0338
x25,0.0008,0.0019,0.0016,0.0014,0.0094,0.0063,0.0009,0.0098,0.0321
x30,0.0005,0.0014,0.001,0.0009,0.0112,0.0075,0.0006,0.0079,0.0311
x13,0.0008,0.0018,0.0014,0.0013,0.0086,0.0061,0.0008,0.0085,0.0293
x12,0.0003,0.0004,0.0004,0.0003,0.0091,0.0093,0.0003,0.0014,0.0215
x23,0.0002,0.0006,0.0004,0.0004,0.0087,0.0052,0.0003,0.0042,0.0198
x16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
