,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,total
x38,0.1422,0.0977,0.0905,0.0021,0.0034,0.027,0.1878,0.0269,0.5776
x24,0.1116,0.014,0.0114,0.008,0.0036,0.0223,0.0342,0.1981,0.4032
x7,0.0723,0.0898,0.0841,0.0152,0.0127,0.0158,0.0576,0.0161,0.3636
x5,0.0334,0.0186,0.0168,0.159,0.0205,0.0176,0.0234,0.0287,0.3179
x3,0.0677,0.0074,0.0076,0.006,0.0276,0.0879,0.0143,0.0125,0.231
x36,0.0488,0.0107,0.01,0.0088,0.0503,0.0631,0.019,0.016,0.2267
x6,0.0165,0.049,0.039,0.0079,0.013,0.0082,0.0263,0.0161,0.1759
x34,0.012,0.0098,0.0062,0.0057,0.0035,0.0055,0.0238,0.0049,0.0714
x10,0.0016,0.0012,0.0026,0.0019,0.0127,0.0015,0.0033,0.0226,0.0475
x13,0.0032,0.0033,0.0033,0.0031,0.0096,0.0049,0.0019,0.0176,0.0468
x9,0.0024,0.0019,0.0026,0.0021,0.0126,0.0023,0.0177,0.003,0.0446
x18,0.0019,0.0012,0.0022,0.0016,0.015,0.0058,0.0117,0.0044,0.0439
x31,0.0015,0.0011,0.002,0.0016,0.0157,0.0046,0.0053,0.0117,0.0436
x35,0.0024,0.0011,0.0025,0.0019,0.0113,0.0106,0.0039,0.0046,0.0383
x12,0.0013,0.0009,0.0015,0.0011,0.0141,0.0077,0.0029,0.0082,0.0377
x11,0.0016,0.0012,0.0019,0.0016,0.0085,0.0025,0.002,0.0108,0.0301
x25,0.0015,0.0013,0.0015,0.0012,0.009,0.0031,0.0105,0.0016,0.0298
x30,0.0019,0.0023,0.0015,0.0016,0.0063,0.0035,0.0051,0.0049,0.0271
x8,0.0011,0.001,0.0014,0.0012,0.0079,0.0009,0.0084,0.0045,0.0264
x32,0.0005,0.0106,0.0098,0.0002,0.0002,0.0002,0.0006,0.0003,0.0224
x23,0.0016,0.0009,0.0021,0.0014,0.004,0.0009,0.0098,0.0013,0.0221
x20,0.0017,0.0077,0.0104,0.0002,0.0002,0.0004,0.0003,0.0007,0.0216
x4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
